name,price,status,shipping,free_returns,items_sold
"White Tissue Paper 960 Sheets - 20"" x 15"" Brand New - Free Shipping!!!",2699,Brand New,0,True,3712
RAW 500's 1 1/4 Size Natural Cigarette Rolling Papers - 500 LEAVES IN EACH PACK ,888,Brand New,0,True,
(87) TWO Individual Paper LUNCHEON Decoupage Napkins - RED TRUCK DOGS CHRISTMAS,198,Brand New,0,True,
Gear Copy Paper Multipurpose Pen  White 500 Sheets free shipping,547,Brand New,0,True,
Zig-Zag Original White Cigarette Rolling Paper Full Box 24 Booklet Box 32 Leaves,2499,Brand New,0,True,
RAW PAPERS - BLACK BUNDLE (6PC) 1-1/4 SIZE ROLLING MACHINE+2PAPERS+2TIPS+Lighter,1199,Brand New,0,True,
A-SUB Sublimation Paper 100 Sheets 8.5x11 eco 125g Heat Transfer Inkjet Printers,1495,Brand New,0,True,
 100 PAPER GIFT BAGS  & JEWELRY BAGS - 7 COLORS AND 4 SIZES,755,Brand New,0,True,
RAW Cones Classic 1 1/4Size |100 Pack| Natural Pre Rolled Rolling Paper W/filter,1945,Brand New,0,True,
RAW Cones Classic 98 Special: 50 Pack - Pre Rolled Cones Rolling Papers w/ Tips,1599,Brand New,0,True,
5 booklets x GLASS Clear Rolling paper King Size - 100% Natural - 200 papers,714,Brand New,0,True,
RAW Cones 1 1/4 Size 50 Pack Natural Pre Rolled Rolling Paper W/filter Classic,1399,Brand New,0,True,
HP Printer Paper Office 20 8.5x11 Copy Print Letter Size 1 Ream 500 Sheets,649,Brand New,0,True,166
11/3/2021 Atlanta Journal Constitution Newspaper Braves Win World Series Champs,5999,Brand New,0,True,121
"Tissue Paper – Red, Blue and Green",2465,Brand New,0,True,6031
50 Half A4 Labels Tag Self Adhesive Paper Label Sticker Shipping Address 2 Tags,763,Brand New,0,True,
Zig-Zag Orange 1¼ Cigarette Rolling Paper Full Box 24 Booklets Box 32 Leaves,2499,Brand New,0,True,
"Scott Rapid-Dissolving Toilet Paper, 8 Rolls FREE SHIPPING",810,Brand New,0,True,215
(367) TWO Individual Paper Luncheon Decoupage Napkin - SNOWMAN WINTER CHRISTMAS,198,Brand New,0,True,
Zig-Zag Rolling Papers Party Bundle,1999,Brand New,0,True,
"Alliance Bond Paper Receipt Rolls, 3""x165', 50 Rolls",3899,Brand New,0,True,
"Pen+Gear Copy Paper, White, 2500 Sheets ( Fast Free Shipping )",2487,Brand New,0,True,
😎 🍃24 RAW ORGANIC HEMP VEGAN ROLLING PAPERS FULL BOX NATURAL PAPER 1 1/4 SIZE,2150,Brand New,0,True,
"Bulk Tissue Paper 15"" X 20"" - 50 or 100 Sheets Packs Pom Gift Favors 48+ Color",775,Brand New,0,True,974
ELEMENTS 25 Pack (1 Box) Elements 1 1/4 (1.25) Rolling Paper Ultra Thin Rice ,2150,Brand New,0,True,
Canon ZINK Photo Paper Pack For Canon Ivy Mini Photo Printer (50 Sheets),2499,Brand New,0,True,501
"Koala Premium Photo Paper Glossy 4""X6"" 100 Sheets 48lb 180g for Inkjet Canon HP",755,Brand New,0,True,
25 Pcs Tattoo Transfer Paper Carbon Thermal Stencil Tracing Hectograph A4 Size,799,Brand New,0,True,
Pattern Scrapbooking Supplies Vintage Paper DIY Material Retro Mini Book,179,Brand New,0,True,18
Raw 98 Special Cones W/Filter tips pre rolled 100 CONES Authentic free shipping,1449,Brand New,0,True,
"Thermal Paper Rolls 3 1/8"" x 230, Fits Most Receipt Printers, Pack of 50 Rolls",6299,Brand New,0,True,237
(1475) TWO Individual Paper LUNCHEON Decoupage Napkins - CHRISTMAS RED TRUCK,198,Brand New,0,True,
Hammermill Copy Plus 8.5 x 11 Copy Paper 20 lbs. 105040,2479,Brand New,0,True,1283
"Boardwalk Standard 2-Ply Toilet Paper Rolls, 96 Rolls (BWK6145)",3974,Brand New,0,True,
Elements Pre-Rolled Rice Cones 1 1/4 Size Natural Unbleached Unrefined 50 pack,1199,Brand New,0,True,
Koala Sticker Paper Matte White for Inkjet Laser Printers 100 Full Sheet 8.5x11,1398,Brand New,0,True,
Raw Classic King Size Cones w/Filter tips pre rolled (200 CONES) free shipping,2450,Brand New,0,True,
Tissue Paper – Black and White ,2457,Brand New,0,True,3811
A-SUB Sublimation Paper 8.5 X 11 110 Sheet 125g for Inkjet Printer Heat Transfer,1699,Brand New,0,True,
HP Printer Paper Office 20 8.5 x 11 Copy Print Letter Size 1 Ream 500 Sheets,670,Brand New,0,True,113
"FREE SHIPPING 3 Packs Elements Ultra Thin Rice Rolling Papers 1-1/4"" 50 Per Pack",420,Brand New,0,True,
Zig-Zag Rolling Papers Tin Box,699,Brand New,0,True,71
